# waypointsExp.dat
# This file contains the spawn point definitions for experiments
# Spawn points are defined to be waypoints
# Each spawn point is defined by the following 7 parameters:
# code, name (N/A), lat [deg], lon [deg], airport (N/A), type (RNAV), country code (INT)

@0, N/A, 4.1638590354, -4.1638590354, N/A, RNAV, INT
@2C, N/A, 4.1638590354, 2.83142414407, N/A, RNAV, INT

@2D, N/A, 4.1638590354, 2.91470132478, N/A, RNAV, INT

@2E, N/A, 4.1638590354, 2.99797850549, N/A, RNAV, INT

@2F, N/A, 4.1638590354, 3.0812556862, N/A, RNAV, INT

@2G, N/A, 4.1638590354, 3.16453286691, N/A, RNAV, INT

@2H, N/A, 4.1638590354, 3.24781004761, N/A, RNAV, INT

@2I, N/A, 4.1638590354, 3.33108722832, N/A, RNAV, INT

@2J, N/A, 4.1638590354, 3.41436440903, N/A, RNAV, INT

@2K, N/A, 4.1638590354, 3.49764158974, N/A, RNAV, INT

@2L, N/A, 4.1638590354, 3.58091877045, N/A, RNAV, INT

@2M, N/A, 4.1638590354, 3.66419595116, N/A, RNAV, INT

@2N, N/A, 4.1638590354, 3.74747313186, N/A, RNAV, INT

@2O, N/A, 4.1638590354, 3.83075031257, N/A, RNAV, INT

@2P, N/A, 4.1638590354, 3.91402749328, N/A, RNAV, INT

@2Q, N/A, 4.1638590354, 3.99730467399, N/A, RNAV, INT

@2R, N/A, 4.1638590354, 4.0805818547, N/A, RNAV, INT

@2S, N/A, 4.1638590354, 4.1638590354, N/A, RNAV, INT

@2T, N/A, 4.0805818547, 4.1638590354, N/A, RNAV, INT

@2U, N/A, 3.99730467399, 4.1638590354, N/A, RNAV, INT

@2V, N/A, 3.91402749328, 4.1638590354, N/A, RNAV, INT

@2W, N/A, 3.83075031257, 4.1638590354, N/A, RNAV, INT

@2X, N/A, 3.74747313186, 4.1638590354, N/A, RNAV, INT

@2Y, N/A, 3.66419595116, 4.1638590354, N/A, RNAV, INT

@2Z, N/A, 3.58091877045, 4.1638590354, N/A, RNAV, INT

@30, N/A, 3.49764158974, 4.1638590354, N/A, RNAV, INT

@31, N/A, 3.41436440903, 4.1638590354, N/A, RNAV, INT

@32, N/A, 3.33108722832, 4.1638590354, N/A, RNAV, INT

@33, N/A, 3.24781004761, 4.1638590354, N/A, RNAV, INT

@34, N/A, 3.16453286691, 4.1638590354, N/A, RNAV, INT

@35, N/A, 3.0812556862, 4.1638590354, N/A, RNAV, INT

@36, N/A, 2.99797850549, 4.1638590354, N/A, RNAV, INT

@37, N/A, 2.91470132478, 4.1638590354, N/A, RNAV, INT

@38, N/A, 2.83142414407, 4.1638590354, N/A, RNAV, INT

@39, N/A, 2.74814696337, 4.1638590354, N/A, RNAV, INT

@3A, N/A, 2.66486978266, 4.1638590354, N/A, RNAV, INT

@3B, N/A, 2.58159260195, 4.1638590354, N/A, RNAV, INT

@3C, N/A, 2.49831542124, 4.1638590354, N/A, RNAV, INT

@3D, N/A, 2.41503824053, 4.1638590354, N/A, RNAV, INT

@3E, N/A, 2.33176105983, 4.1638590354, N/A, RNAV, INT

@3F, N/A, 2.24848387912, 4.1638590354, N/A, RNAV, INT

@3G, N/A, 2.16520669841, 4.1638590354, N/A, RNAV, INT

@3H, N/A, 2.0819295177, 4.1638590354, N/A, RNAV, INT

@3I, N/A, 1.99865233699, 4.1638590354, N/A, RNAV, INT

@3J, N/A, 1.91537515629, 4.1638590354, N/A, RNAV, INT

@3K, N/A, 1.83209797558, 4.1638590354, N/A, RNAV, INT

@3L, N/A, 1.74882079487, 4.1638590354, N/A, RNAV, INT

@3M, N/A, 1.66554361416, 4.1638590354, N/A, RNAV, INT

@3N, N/A, 1.58226643345, 4.1638590354, N/A, RNAV, INT

@3O, N/A, 1.49898925275, 4.1638590354, N/A, RNAV, INT

@3P, N/A, 1.41571207204, 4.1638590354, N/A, RNAV, INT

@3Q, N/A, 1.33243489133, 4.1638590354, N/A, RNAV, INT

@3R, N/A, 1.24915771062, 4.1638590354, N/A, RNAV, INT

@3S, N/A, 1.16588052991, 4.1638590354, N/A, RNAV, INT

@3T, N/A, 1.0826033492, 4.1638590354, N/A, RNAV, INT

@3U, N/A, 0.999326168497, 4.1638590354, N/A, RNAV, INT

@3V, N/A, 0.916048987789, 4.1638590354, N/A, RNAV, INT

@3W, N/A, 0.832771807081, 4.1638590354, N/A, RNAV, INT

@3X, N/A, 0.749494626373, 4.1638590354, N/A, RNAV, INT

